client,industry,project,description,dt_start,channel,product,design,goal,complexity
Baboom Filmes,comunicacao,Ijen,Infográficos animados para auxiliar na narrativa do documentário,2014-01-15T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']",['informacional'],2
Project Hub,comunicacao,Youtube - Rio Content Market,Aplicativo para realização de pesquisa de opinião em evento,2014-01-05T00:00:00Z,digital,['outras-interfaces'],['user-interface'],"['informacional', 'institucional']",3
Project Hub,comunicacao,Youtube - Rio Content Market,Infográfico com análise visual dos resultados da pesquisa,2014-01-05T00:00:00Z,digital,['infografico'],"['datavis', 'infografia']","['informacional', 'institucional']",2
Project Hub,comunicacao,Youtube - Creator Camp,"Projeto de identidade, linguagem visual e motiongraphics para a série Youtube Creator Camp",2014-09-05T00:00:00Z,digital,['video'],"['motion-graphics', 'infografia']","['educacional', 'institucional']",2
Provokers,pesquisa,Provokers - Pesquisa para a Natura,Infográfico apresentando os resultados da pesquisa realizada pela Provokers para a Natura,2014-05-14T00:00:00Z,impressa,['infografico'],"['ilustracao', 'infografia']",['informacional'],1
Project Hub,comunicacao,Google for education & Fundação Lemann,Aplicativo para pesquisa de opnião em evento,2014-09-06T00:00:00Z,digital,['outras-interfaces'],['user-interface'],"['informacional', 'institucional']",3
Project Hub,comunicacao,Google for education & Fundacao Lemann,Infográfico com análise visual dos resultados da pesquisa,2014-09-06T00:00:00Z,digital,['infografico'],"['ilustracao', 'datavis', 'infografia']","['informacional', 'institucional']",1
Baboom Filmes,comunicacao,"CPFL - Vídeo 1, energia sustentável",Design de linguagem visual e motiongraphics para a vídeo sobre energias renováveis,2014-06-20T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional', 'institucional']",2
Baboom Filmes,comunicacao,"CPFL - Vídeo 2, energia sustentável","Projeto de linguagem visual, recursos gráficos e motiongraphics para a vídeo sobre energias renováveis",2014-01-07T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional', 'institucional']",2
Project Hub,comunicacao,Plataforma Project Hub,Projeto de design de plataforma para conectar atores da economia criativa à financiadores,2014-09-07T00:00:00Z,digital,['site-institucional'],"['ilustracao', 'editorial', 'user-interface', 'infografia']","['informacional', 'institucional', 'jornalistico-editorial']",4
Project Hub,comunicacao,Youtube - Yoodle,Ilustração animada para o logotipo comemorativo do Youtube durante a Copa do Mundo de 2014,2014-07-15T00:00:00Z,digital,['video'],['ilustracao'],['institucional'],1
Project Hub,comunicacao,Video Casa Preta,"Animação apresentando a Casa Preta, espaço multidisciplinar da Project Hub",2014-07-28T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",2
PAN Visual,comunicacao,PAN vídeo institucional,Animação institucional para a PAN Visual,2014-07-31T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['informacional', 'institucional']",2
WooHoo,comunicacao,WooHoo CGs,Projeto de linguagem visual e motion graphics de peças institucionais para o canal WooHoo,2014-11-08T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics']",['institucional'],2
KPMG,consultorias,Segurança no deslocamento,Animação para o setor de prevenção de acidentes da KPMG,2014-08-21T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']","['educacional', 'informacional']",2
Project Hub,comunicacao,Hotsites,Site para projeto da Project Hub com a YouPix,2014-02-09T00:00:00Z,digital,['site-institucional'],['user-interface'],['institucional'],1
Project Hub,comunicacao,Hotsites,Site para o prêmio Brasil Criativo,2014-02-09T00:00:00Z,digital,['site-institucional'],['user-interface'],['institucional'],1
Project Hub,comunicacao,Prêmio Brasil Criativo,Vídeo institucional para divulgação do prêmio Brasil Criativo,2014-09-19T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics']","['impacto-positivo', 'institucional']",3
Project Hub,comunicacao,Prêmio Brasil Criativo,Vídeos para cenografia com projeção mapeada durante o evento do Prêmio Brasil Criativo,2014-09-19T00:00:00Z,digital,['video'],"['ilustracao', 'motion-graphics', 'infografia']",['institucional'],4
Novidá,servicos-e-tecnologia,Visualizações de dados e mapas,Projeto de interface e visualização de dados para serviço de mapeamento de comportamento de clientes em lojas,2014-10-10T00:00:00Z,digital,['outras-interfaces'],"['ilustracao', 'user-interface', 'datavis', 'infografia']","['informacional', 'institucional']",3
Marqueterie,comunicacao,Apresentação institucional Marqueterie,Projeto de linguagem e criação de conteúdo visual para a apresentação institucional da empresa,2014-10-15T00:00:00Z,digital,['apresentacao'],"['ilustracao', 'editorial', 'infografia']","['informacional', 'institucional']",2
